150 700
27 2395 99
903 1577 8
896 899 86
656 788 90
1621 2772 5
2419 2709 41
1139 2886 50
384 2414 13
903 2419 68
815 2746 100
1551 1880 10
380 701 17
1577 1644 73
656 1483 60
1482 2819 38
915 1077 83
1289 2045 8
178 414 98
123 2819 60
1495 2395 61
272 2571 87
934 1379 38
1097 1551 21
419 1755 6
2299 2989 46
637 2875 52
953 1289 24
261 1517 39
865 2299 96
882 2188 39
1293 2805 48
586 2262 67
178 285 52
1201 1732 13
373 1621 6
2324 2441 48
586 2819 97
572 1482 83
1483 2045 31
357 788 65
900 1201 74
1127 2391 55
859 953 44
567 865 83
327 637 56
1094 2419 47
567 1483 86
2391 2443 97
285 323 11
293 1730 57
384 1456 6
1858 2860 64
915 2772 32
934 1482 8
654 2234 9
27 1409 73
103 2601 56
230 373 57
373 2168 48
1551 2941 57
123 1495 36
871 2800 94
882 1880 24
1030 1329 99
1003 2886 66
1456 2441 75
637 1139 90
384 865 65
373 1084 9
380 1732 31
1729 2496 46
637 2208 23
899 939 10
1636 2208 80
1644 2045 61
2534 2788 39
953 1084 1
1621 2873 18
109 1186 11
815 2022 42
2604 2709 94
512 2571 70
261 2941 54
954 2414 79
373 2620 6
293 420 12
865 1106 70
1094 1456 58
188 261 88
1482 1755 25
1483 1729 29
1394 2414 37
132 859 47
2365 2571 82
109 380 89
934 2873 57
1732 2262 38
1084 1201 17
2441 2788 52
939 1030 11
586 2466 83
1483 2819 94
419 2395 37
1097 1918 79
1139 2819 74
272 1557 88
261 1551 99
2267 2933 83
1918 2234 19
131 882 18
788 1127 37
900 2620 3
109 2875 50
2233 2324 95
457 2324 32
2168 2655 9
380 1085 40
934 2022 17
384 2070 68
293 1140 74
131 899 40
1730 2860 86
1894 2088 4
1085 1456 41
654 1551 47
109 572 15
567 1084 45
1127 2168 14
2466 2496 67
2604 2873 54
1077 1482 6
414 1139 78
1106 2324 58
103 323 31
2233 2300 11
900 2208 38
896 2208 5
261 2088 76
1621 2168 12
1106 2601 43
667 2622 25
1732 2873 50
572 899 28
934 1186 83
103 903 48
1004 1011 27
2300 2473 16
178 2443 47
701 2989 88
1004 2324 23
1394 1730 35
2208 2875 20
654 1471 58
1730 1894 21
1577 2873 81
323 1577 92
285 1201 29
2262 2534 50
131 2788 9
1084 2088 38
1379 2300 63
859 2496 33
567 2282 48
178 2746 46
1106 2466 24
457 2805 57
261 1409 71
1004 2819 92
327 2473 94
373 1379 28
230 2800 33
1456 2300 6
457 2299 31
261 2987 34
1858 2987 84
272 1077 65
193 2300 83
261 1858 86
586 2197 26
1730 2443 40
450 2233 45
380 1094 25
1555 2299 88
1729 2746 34
2197 2571 25
380 2466 100
654 1732 24
939 2941 3
188 272 87
27 2788 12
178 420 59
1186 1471 91
859 1882 45
934 1880 37
2473 2989 75
178 2987 72
1621 2746 7
27 2662 70
1495 2875 79
1097 1564 91
567 2262 45
27 2805 44
1140 1555 22
178 656 47
293 2941 91
323 2419 87
1495 2788 61
567 2819 50
1517 2987 84
859 2197 39
420 2088 85
871 1882 78
953 2709 40
701 1004 67
1329 2685 22
188 637 99
1011 2324 82
327 2873 20
899 2443 98
1094 2208 52
1030 1894 47
178 939 79
27 2197 55
512 1139 41
1329 2324 100
1482 2299 17
2262 2860 53
109 586 47
512 1564 14
1011 2685 73
1293 2620 82
2045 2989 15
899 2282 69
188 903 45
1030 1394 58
380 2571 63
2395 2685 98
788 1621 70
457 2300 95
397 2622 43
1840 2365 48
1557 1636 62
123 1880 20
567 1094 92
1289 2989 21
2875 2989 41
373 1551 80
1517 1730 58
230 2365 50
1555 2414 43
132 285 60
2267 2805 11
397 1918 41
1471 2622 24
1140 1564 80
1409 2443 82
2168 2622 78
1289 1644 93
1329 2604 11
900 1840 97
457 2282 60
178 1840 92
1030 2875 33
1186 1555 91
637 2772 41
178 788 40
2324 2391 12
512 2941 18
2045 2634 64
1293 2772 21
2324 2620 83
1140 2262 67
1471 2414 44
512 667 96
1139 1201 81
2391 2604 94
1482 1644 6
2262 2987 84
1555 2267 23
2391 2441 20
1918 2662 27
2168 2267 89
1880 2989 66
900 1077 9
1127 1564 37
2860 2873 77
567 2620 29
865 2395 46
586 2441 84
1551 2197 77
815 2571 99
934 1140 60
2575 2860 24
899 2233 70
1636 2819 88
1186 2441 69
397 2088 29
627 1495 64
193 2197 8
2365 2860 51
627 1577 42
2022 2933 9
397 1085 60
131 2575 74
131 420 20
2414 2875 74
293 1517 50
1030 2282 49
1329 1517 49
654 2875 99
1644 1730 66
188 2391 32
1729 2262 100
1140 1517 65
1085 2941 20
2419 2886 22
1085 1482 38
1293 2299 10
654 939 75
230 2601 37
1482 2709 14
2571 2860 8
1379 2662 4
871 1289 45
384 701 44
357 2022 93
1030 1094 5
261 2282 92
27 1379 42
1409 2634 68
1394 1918 10
457 2233 58
323 2989 23
1379 2088 44
1084 2267 85
1106 2197 11
1329 1729 5
1495 2800 70
1186 2414 67
670 1011 43
397 2300 7
1329 2772 68
109 2709 12
667 2267 7
123 1719 5
899 1139 92
1094 1840 65
272 1379 61
627 939 97
1289 2620 58
2234 2395 50
1003 1495 26
380 457 10
865 1719 83
1097 1621 73
900 2604 3
1097 1456 24
567 2634 10
414 1379 46
701 2875 68
384 815 31
1127 2395 18
1636 2197 26
450 2267 57
272 1127 64
419 2873 20
1140 2788 17
1094 1140 43
915 1719 82
1577 1636 96
1085 2746 47
293 2819 25
654 2282 80
1557 2873 46
899 2886 85
1880 2788 62
2443 2496 31
323 865 38
414 934 96
2045 2655 20
1127 1636 53
1379 2496 100
132 2941 65
1456 2395 20
188 2534 44
457 939 89
2788 2987 90
1729 2282 17
1011 2772 22
1551 1732 30
2262 2601 66
272 1517 56
788 2819 82
1880 2267 62
373 2466 43
1840 2655 44
1329 2233 31
2208 2709 85
2805 2989 51
1097 1840 19
586 1564 67
899 2819 60
1139 1293 78
1755 2800 57
900 2662 21
1293 1719 15
109 2655 1
1409 1880 79
1495 2188 70
1084 1085 11
2575 2788 98
131 2299 21
132 1555 72
701 2443 52
2324 2601 43
1918 2473 58
586 1880 91
2300 2534 4
865 2800 19
654 1106 9
285 397 14
586 1289 80
1577 2188 33
420 1471 68
450 1882 40
420 2886 95
637 2441 39
2365 2772 68
627 2419 33
384 953 93
1483 2620 4
414 896 31
567 1551 95
178 1293 59
656 1730 19
1918 2466 53
2168 2395 57
1517 2886 11
2267 2819 11
586 2634 47
1004 2282 92
1077 1201 84
420 2282 90
871 1621 36
567 2496 19
1394 2933 16
654 2746 3
572 1719 65
788 1894 66
903 2300 51
1004 1755 81
327 1555 41
188 586 98
293 667 44
1894 2800 66
2324 2655 45
903 1394 58
954 1636 81
670 815 67
2208 2575 58
667 2772 12
1557 1918 86
380 2234 92
1551 2819 66
1394 1719 65
384 2443 48
1732 2395 29
414 656 78
323 1030 10
188 2575 71
123 2746 58
1719 2233 57
1127 2941 100
285 2860 6
882 1483 36
656 954 100
188 2414 77
1379 2860 100
1030 1880 10
627 2622 78
1289 2604 39
1483 2267 82
2267 2873 16
2208 2419 74
357 2233 57
1329 2299 18
420 1636 37
1456 1564 74
1077 2534 3
188 701 17
859 1329 18
586 871 16
1127 2188 36
2466 2622 88
293 1289 5
815 1730 99
2466 2987 6
103 1003 87
293 414 78
656 1456 78
2662 2800 56
457 1621 79
397 1564 86
2324 2819 49
397 2443 54
654 2441 20
882 1329 48
